Date,Close,High,Low,Open,Volume
2020-11-24,903.26,907.84,888.52,903.24,30936268
2020-11-25,895.79,916.55,893.21,910.6,32637879
2020-11-26,897.99,903.7,887.62,898.2,25838637
2020-11-27,887.51,899.6,883.65,892.43,47336811
2020-12-01,899.05,904.27,887.62,892.36,19750687
2020-12-02,900.55,902.32,889.9,900.71,22188887
2020-12-03,903.26,911.1,900.78,906.92,27785372
2020-12-04,895.3,905.54,892.2,905.54,18464552
2020-12-07,900.57,903.7,892.48,892.48,18242188
2020-12-08,916.92,926.35,896.8,901.93,43403061
2020-12-09,932.19,935.34,919.45,924.37,29175254
2020-12-10,923.01,932.9,920.25,929.73,16065507
2020-12-11,922.46,937.27,907.95,925.77,26944202
2020-12-14,915.79,926.69,913.52,923.45,17312747
2020-12-15,908.0,915.06,901.9,915.06,18551265
2020-12-16,909.01,917.47,904.02,914.27,18561011
2020-12-17,913.17,922.09,909.28,912.66,20252358
2020-12-18,915.91,922.05,903.7,910.64,18466344
2020-12-21,892.06,929.91,853.22,924.39,44135540
2020-12-22,890.68,900.89,868.49,896.34,28140001
2020-12-23,893.97,897.47,883.3,887.6,19501410
2020-12-24,917.1,919.24,894.91,895.42,20776988
2020-12-28,921.31,928.07,917.63,922.87,17221499
2020-12-29,915.22,925.45,911.77,923.93,18611939
2020-12-30,917.72,923.1,908.55,917.61,22043630
2020-12-31,913.03,925.27,909.95,916.8,18781189
2021-01-01,914.04,918.41,911.51,914.27,10015175
2021-01-04,915.59,919.29,905.08,917.54,24513534
2021-01-05,904.2,912.25,899.56,905.54,24123091
2021-01-06,880.36,904.16,876.17,904.11,46401468
2021-01-07,878.93,894.5,876.17,883.23,32325918
2021-01-08,889.3,891.46,879.37,882.08,27540187
2021-01-11,872.54,891.65,870.35,891.65,33307825
2021-01-12,900.04,901.4,873.76,875.18,41161546
2021-01-13,891.65,908.27,882.29,903.03,26619458
2021-01-14,901.67,904.57,891.76,894.5,21553242
2021-01-15,891.03,907.74,883.02,901.67,20593268
2021-01-18,912.41,918.41,884.54,896.38,35100458
2021-01-19,927.34,934.05,917.33,917.33,32006615
2021-01-20,944.95,946.47,920.44,929.63,30924537
2021-01-21,965.51,974.98,954.29,957.5,39087742
2021-01-22,942.6,972.84,935.96,970.84,30532660
2021-01-25,892.66,935.87,888.52,935.87,54207104
2021-01-27,871.5,885.3,868.28,885.3,42370131
2021-01-28,863.02,884.52,860.01,864.67,34067814
2021-01-29,847.11,879.83,841.61,871.18,43712383
2021-02-01,871.64,876.1,849.89,855.13,34180952
2021-02-02,885.67,892.2,853.09,880.36,41470034
2021-02-03,887.9,897.72,873.8,886.82,30301696
2021-02-04,884.98,892.2,876.1,884.84,25626981
2021-02-05,884.73,894.34,883.0,887.62,20248046
2021-02-08,897.47,905.54,887.16,889.0,21183400
2021-02-09,899.63,915.01,897.86,902.29,19604141
2021-02-10,907.97,912.78,886.36,898.52,21234156
2021-02-11,945.41,949.32,907.03,910.6,42539278
2021-02-12,938.92,955.66,926.88,945.32,30497029
2021-02-15,934.79,947.98,931.29,941.89,15791099
2021-02-16,947.16,956.31,935.89,938.07,21421660
2021-02-17,958.08,963.92,943.06,947.39,23742994
2021-02-18,950.93,969.65,946.97,958.88,18646877
2021-02-19,956.72,968.06,944.31,946.01,23403483
2021-02-22,923.52,961.14,917.47,956.58,23804335
2021-02-23,930.58,944.12,926.05,941.87,25644108
2021-02-24,947.85,949.8,931.82,933.59,10807663
2021-02-25,986.18,989.7,953.37,954.75,34855693
2021-02-26,959.25,981.37,952.31,973.6,37481215
2021-03-01,966.56,971.3,948.54,970.47,17680764
2021-03-02,968.54,979.58,960.77,975.9,17150760
2021-03-03,1012.74,1020.92,969.09,975.46,31924461
2021-03-04,1000.67,1007.15,992.32,1002.57,21435754
2021-03-05,1001.98,1017.27,990.18,991.54,25511666
2021-03-08,1007.68,1026.44,997.06,997.29,19506841
2021-03-09,1007.66,1018.12,987.21,1011.77,15154484
2021-03-10,1003.47,1018.72,998.09,1014.99,11519358
2021-03-12,983.07,1014.72,976.77,1009.47,16864952
2021-03-15,969.88,988.27,956.81,984.2,16698099
2021-03-16,966.06,977.74,963.71,972.22,13873801
2021-03-17,945.25,967.16,935.94,964.89,19210236
2021-03-18,923.98,958.79,920.25,953.32,20647480
2021-03-19,957.5,963.87,911.88,915.65,41787429
2021-03-22,948.49,953.83,935.06,952.45,18572478
2021-03-23,960.03,970.24,945.55,948.28,17421165
2021-03-24,941.55,956.47,938.37,956.47,16822814
2021-03-25,915.86,944.63,912.89,944.63,22001648
2021-03-26,917.33,926.09,907.7,925.31,20180202
2021-03-30,933.27,942.28,915.91,923.47,20441701
2021-03-31,921.22,942.74,919.33,928.07,16250796
2021-04-01,929.84,933.59,921.24,928.07,11723312
2021-04-05,916.39,931.29,902.36,931.27,14875099
2021-04-06,912.57,922.07,905.54,921.63,14009194
2021-04-07,921.1,941.36,916.71,919.79,24266353
2021-04-08,922.25,929.91,916.57,924.85,15369188
2021-04-09,911.54,922.71,910.6,919.08,14037885
2021-04-12,878.93,902.04,873.92,900.94,20901482
2021-04-13,888.43,892.48,882.01,884.84,19411189
2021-04-15,894.18,901.86,879.78,885.9,19723716
2021-04-16,888.57,896.75,885.97,890.64,15656948
2021-04-19,874.59,881.35,869.2,875.64,18478808
2021-04-20,874.33,882.54,869.41,878.63,17203668
2021-04-22,876.75,880.45,863.09,870.24,14490954
2021-04-23,875.8,882.5,871.66,876.56,11828857
2021-04-26,891.21,902.32,879.09,883.0,20846778
2021-04-27,914.57,918.51,891.39,892.2,19992524
2021-04-28,918.55,923.47,910.66,918.8,17122437
2021-04-29,930.85,940.26,923.15,930.32,17412606
2021-04-30,917.26,936.35,914.07,923.7,19828769
2021-05-03,900.96,910.14,893.62,904.16,23640186
2021-05-04,881.44,904.98,878.86,896.8,21849830
2021-05-05,883.05,891.51,877.51,884.54,12393609
2021-05-06,888.06,889.9,876.84,883.85,14624666
2021-05-07,888.41,899.4,885.76,891.16,12288548
2021-05-10,885.85,895.33,883.44,891.74,13941237
2021-05-11,889.05,891.53,878.4,880.7,13478264
2021-05-12,879.85,888.93,877.02,887.65,13177961
2021-05-14,890.96,893.12,876.56,886.7,13291616
2021-05-17,901.56,902.98,887.78,890.96,11873078
2021-05-18,914.25,920.99,907.15,911.06,12064918
2021-05-19,918.44,927.36,906.92,910.6,16317002
2021-05-20,913.08,924.81,911.06,918.83,11422532
2021-05-21,920.97,924.21,913.35,916.11,10785605
2021-05-24,913.19,924.3,911.51,923.47,8551760
2021-05-25,902.85,918.41,901.4,918.14,14780102
2021-05-26,906.02,910.37,903.83,908.3,7480204
2021-05-27,908.8,916.57,902.43,906.13,26819294
2021-05-28,963.39,968.08,915.19,915.19,56469931
2021-05-31,993.51,1007.96,958.91,966.7,59124142
2021-06-01,997.47,1012.69,987.17,996.14,28013832
2021-06-02,1012.35,1016.14,992.0,992.0,24630162
2021-06-03,1016.21,1034.77,1009.98,1021.43,23974257
2021-06-04,1007.4,1019.34,1004.53,1018.58,14468646
2021-06-07,1024.37,1031.09,1004.87,1012.69,16336573
2021-06-08,1018.49,1024.26,1010.92,1024.01,9674735
2021-06-09,1000.27,1021.43,992.43,1020.51,11409161
2021-06-10,1003.95,1025.57,1001.45,1008.74,14155653
2021-06-11,1021.37,1028.22,1006.12,1007.41,13762778
2021-06-14,1036.02,1042.18,1013.02,1022.22,20332436
2021-06-15,1038.37,1049.87,1033.9,1043.45,15174215
2021-06-16,1020.65,1037.01,1018.0,1036.02,10797349
2021-06-17,1022.52,1031.45,1006.02,1015.3,15745975
2021-06-18,1027.14,1031.45,1008.08,1027.07,29369026
2021-06-21,1032.49,1037.22,1015.37,1016.91,12186448
2021-06-22,1027.18,1043.45,1024.23,1040.22,12871913
2021-06-23,1017.77,1038.65,1016.08,1038.37,16653951
2021-06-24,993.84,1022.04,987.61,1018.46,91461975
2021-06-25,971.2,993.84,960.43,993.84,55355022
2021-06-28,962.69,981.38,960.38,979.3,20277042
2021-06-29,963.52,973.3,961.81,964.3,27144063
2021-06-30,974.06,979.6,965.02,967.42,19762858
2021-07-01,968.2,979.83,966.84,977.46,12534407
2021-07-02,982.56,984.33,965.9,967.77,14086620
2021-07-05,992.32,993.86,983.69,985.97,11702287
2021-07-06,980.59,991.72,978.47,989.89,10070124
2021-07-07,973.79,981.96,968.23,981.96,10454892
2021-07-08,965.73,976.97,960.38,976.97,11185460
2021-07-09,955.86,965.32,953.5,963.61,9037675
2021-07-12,961.81,969.84,957.38,959.8,8585292
2021-07-13,969.01,970.56,963.63,969.15,6717133
2021-07-14,962.69,972.31,960.5,969.31,8532544
2021-07-15,961.0,966.84,959.23,966.84,9448356
2021-07-16,974.87,975.96,963.43,963.5,8828185
2021-07-19,968.67,980.23,965.57,969.15,8354449
2021-07-20,966.29,972.84,961.77,968.92,6741464
2021-07-22,978.7,980.18,968.3,977.92,7972397
2021-07-23,971.78,985.05,970.1,985.05,9937030
2021-07-26,958.47,978.84,955.81,972.84,12389668
2021-07-27,948.38,961.63,942.38,958.44,10824523
2021-07-28,940.24,949.77,930.5,949.77,12897848
2021-07-29,947.57,957.34,943.03,947.92,13765738
2021-07-30,939.29,954.36,937.35,949.77,11350608
2021-08-02,956.46,959.64,941.99,948.06,10925104
2021-08-03,963.5,965.0,952.63,964.53,11817299
2021-08-04,970.88,975.61,963.15,966.57,13169800
2021-08-05,984.96,994.44,971.11,975.75,21252078
2021-08-06,964.1,990.82,959.34,982.97,16620987
2021-08-09,958.6,964.44,953.69,960.38,7494143
2021-08-10,963.63,975.15,957.04,960.84,11919198
2021-08-11,977.13,978.38,961.49,967.74,9184963
2021-08-12,974.0,981.24,971.46,980.64,8137612
2021-08-13,990.22,992.18,973.28,977.13,12780901
2021-08-16,1003.07,1016.68,982.14,991.92,21935444
2021-08-17,998.8,1008.47,991.23,1000.92,12658169
2021-08-18,1002.68,1009.21,993.42,1003.3,10075860
2021-08-20,991.42,1002.38,986.23,988.99,9426282
2021-08-23,997.92,1003.3,984.06,1003.3,9854395
2021-08-24,1007.78,1011.61,994.81,999.17,11864472
2021-08-25,1016.5,1024.53,1006.12,1008.56,13380559
2021-08-26,1029.35,1036.02,1017.61,1018.99,18589616
